file,time_sec,activation,above_threshold
Impact_Event_024244_2MIN.wav,100.8,0.3128,0.0006
Impact_Event_024244_2MIN.wav,109.5,0.3142,0.002
Impact_Event_024244_2MIN.wav,111.2,0.3122,0.0
Impact_Event_024244_2MIN.wav,112.7,0.3124,0.0002
Impact_Event_024244_2MIN.wav,113.3,0.3142,0.002
Impact_Event_024244_2MIN.wav,113.7,0.3141,0.0019
Impact_Event_024244_2MIN.wav,114.1,0.3145,0.0023
Impact_Event_024244_2MIN.wav,114.8,0.3126,0.0004
Distress_Event_2_024230_2MIN.wav,0.8,0.3124,0.0004
Distress_Event_2_024230_2MIN.wav,2.1,0.3131,0.0011
Distress_Event_2_024230_2MIN.wav,8.7,0.3134,0.0013
Distress_Event_2_024230_2MIN.wav,10.8,0.3121,1e-04
Distress_Event_2_024230_2MIN.wav,12.7,0.3148,0.0028
Distress_Event_2_024230_2MIN.wav,16.2,0.3127,0.0007
Distress_Event_2_024230_2MIN.wav,19.9,0.3144,0.0024
Distress_Event_2_024230_2MIN.wav,26.2,0.3135,0.0015
Distress_Event_2_024230_2MIN.wav,27.9,0.3126,0.0006
Distress_Event_2_024230_2MIN.wav,29.7,0.3126,0.0006
Distress_Event_2_024230_2MIN.wav,30.6,0.3124,0.0004
Distress_Event_2_024230_2MIN.wav,32.1,0.3123,0.0003
Distress_Event_2_024230_2MIN.wav,32.9,0.3122,1e-04
Distress_Event_2_024230_2MIN.wav,33.0,0.3149,0.0029
Distress_Event_2_024230_2MIN.wav,36.4,0.3132,0.0012
Distress_Event_2_024230_2MIN.wav,47.0,0.3151,0.003
Distress_Event_2_024230_2MIN.wav,55.2,0.3145,0.0025
Distress_Event_2_024230_2MIN.wav,56.4,0.3122,0.0002
Distress_Event_2_024230_2MIN.wav,56.6,0.3132,0.0012
Distress_Event_2_024230_2MIN.wav,56.9,0.3127,0.0007
Distress_Event_2_024230_2MIN.wav,57.3,0.3139,0.0018
Distress_Event_2_024230_2MIN.wav,58.2,0.3128,0.0008
Distress_Event_2_024230_2MIN.wav,58.4,0.3124,0.0004
Distress_Event_2_024230_2MIN.wav,60.3,0.3141,0.0021
Distress_Event_2_024230_2MIN.wav,60.5,0.3144,0.0024
Distress_Event_2_024230_2MIN.wav,61.9,0.3126,0.0006
Distress_Event_2_024230_2MIN.wav,63.3,0.312,0.0
Distress_Event_2_024230_2MIN.wav,64.2,0.3132,0.0012
Distress_Event_2_024230_2MIN.wav,64.2,0.3163,0.0043
Distress_Event_2_024230_2MIN.wav,64.3,0.3129,0.0009
Distress_Event_2_024230_2MIN.wav,64.5,0.314,0.002
Distress_Event_2_024230_2MIN.wav,64.5,0.3136,0.0016
Distress_Event_2_024230_2MIN.wav,64.7,0.3126,0.0006
Distress_Event_2_024230_2MIN.wav,64.8,0.3123,0.0003
Distress_Event_2_024230_2MIN.wav,67.0,0.3136,0.0015
Distress_Event_2_024230_2MIN.wav,67.2,0.3132,0.0012
Distress_Event_2_024230_2MIN.wav,67.2,0.3149,0.0028
Distress_Event_2_024230_2MIN.wav,67.4,0.3162,0.0041
Distress_Event_2_024230_2MIN.wav,67.8,0.3125,0.0005
Distress_Event_2_024230_2MIN.wav,67.8,0.3132,0.0012
Distress_Event_2_024230_2MIN.wav,67.9,0.3123,0.0003
Distress_Event_2_024230_2MIN.wav,68.2,0.3126,0.0006
Distress_Event_2_024230_2MIN.wav,68.3,0.3137,0.0017
